Seed,Total Nodes,Neighbor %,Bizantine %,Protocol,Time,Infected Nodes,Total Messages
42,50,0.05,0.1,AntiEntropy,16.552,100.0,1107
70,50,0.05,0.1,AntiEntropy,11.536,100.0,531
420,50,0.05,0.1,AntiEntropy,8.024,100.0,504
42,50,0.05,0.2,AntiEntropy,9.529,100.0,556
70,50,0.05,0.2,AntiEntropy,10.031,100.0,594
420,50,0.05,0.2,AntiEntropy,7.022,100.0,393
42,50,0.05,0.3,AntiEntropy,6.52,100.0,330
70,50,0.05,0.3,AntiEntropy,7.523,100.0,346
420,50,0.05,0.3,AntiEntropy,7.522,100.0,329
42,50,0.05,0.4,AntiEntropy,10.031,100.0,565
70,50,0.05,0.4,AntiEntropy,8.025,100.0,425
420,50,0.05,0.4,AntiEntropy,7.524,100.0,426
42,50,0.1,0.1,AntiEntropy,6.52,100.0,335
70,50,0.1,0.1,AntiEntropy,8.526,100.0,569
420,50,0.1,0.1,AntiEntropy,9.028,100.0,590
42,50,0.1,0.2,AntiEntropy,8.526,100.0,581
70,50,0.1,0.2,AntiEntropy,9.028,100.0,603
420,50,0.1,0.2,AntiEntropy,8.526,100.0,537
42,50,0.1,0.3,AntiEntropy,6.018,100.0,273
70,50,0.1,0.3,AntiEntropy,9.028,100.0,534
420,50,0.1,0.3,AntiEntropy,8.527,100.0,533
42,50,0.1,0.4,AntiEntropy,8.025,100.0,483
70,50,0.1,0.4,AntiEntropy,7.021,100.0,417
420,50,0.1,0.4,AntiEntropy,8.526,100.0,576
42,50,0.15,0.1,AntiEntropy,7.523,100.0,373
70,50,0.15,0.1,AntiEntropy,5.517,100.0,266
420,50,0.15,0.1,AntiEntropy,7.022,100.0,472
42,50,0.15,0.2,AntiEntropy,8.526,100.0,575
70,50,0.15,0.2,AntiEntropy,6.018,100.0,317
420,50,0.15,0.2,AntiEntropy,6.52,100.0,424
42,50,0.15,0.3,AntiEntropy,6.52,100.0,365
70,50,0.15,0.3,AntiEntropy,7.021,100.0,436
420,50,0.15,0.3,AntiEntropy,7.523,100.0,463
42,50,0.15,0.4,AntiEntropy,6.52,100.0,386
70,50,0.15,0.4,AntiEntropy,6.52,100.0,397
420,50,0.15,0.4,AntiEntropy,13.039,100.0,1049
42,100,0.05,0.1,AntiEntropy,6.521,100.0,655
70,100,0.05,0.1,AntiEntropy,9.53,100.0,1187
420,100,0.05,0.1,AntiEntropy,9.03,100.0,907
42,100,0.05,0.2,AntiEntropy,6.019,100.0,557
70,100,0.05,0.2,AntiEntropy,6.018,100.0,655
420,100,0.05,0.2,AntiEntropy,9.531,100.0,1089
42,100,0.05,0.3,AntiEntropy,8.525,100.0,990
70,100,0.05,0.3,AntiEntropy,10.532,100.0,1446
420,100,0.05,0.3,AntiEntropy,9.029,100.0,1218
42,100,0.05,0.4,AntiEntropy,5.518,100.0,593
70,100,0.05,0.4,AntiEntropy,8.527,100.0,845
420,100,0.05,0.4,AntiEntropy,11.036,100.0,1527
42,100,0.1,0.1,AntiEntropy,6.02,100.0,668
70,100,0.1,0.1,AntiEntropy,5.518,100.0,540
420,100,0.1,0.1,AntiEntropy,6.521,100.0,631
42,100,0.1,0.2,AntiEntropy,6.522,100.0,835
70,100,0.1,0.2,AntiEntropy,8.026,100.0,1038
420,100,0.1,0.2,AntiEntropy,6.522,100.0,755
42,100,0.1,0.3,AntiEntropy,6.521,100.0,763
70,100,0.1,0.3,AntiEntropy,9.029,100.0,1183
420,100,0.1,0.3,AntiEntropy,7.023,100.0,844
42,100,0.1,0.4,AntiEntropy,6.522,100.0,744
70,100,0.1,0.4,AntiEntropy,6.019,100.0,557
420,100,0.1,0.4,AntiEntropy,5.518,100.0,553
42,100,0.15,0.1,AntiEntropy,5.017,100.0,518
70,100,0.15,0.1,AntiEntropy,6.02,100.0,718
420,100,0.15,0.1,AntiEntropy,5.518,100.0,574
42,100,0.15,0.2,AntiEntropy,6.02,100.0,632
70,100,0.15,0.2,AntiEntropy,5.016,100.0,518
420,100,0.15,0.2,AntiEntropy,6.521,100.0,825
42,100,0.15,0.3,AntiEntropy,6.521,100.0,766
70,100,0.15,0.3,AntiEntropy,10.533,100.0,1577
420,100,0.15,0.3,AntiEntropy,6.522,100.0,728
42,100,0.15,0.4,AntiEntropy,8.027,100.0,1090
70,100,0.15,0.4,AntiEntropy,8.026,100.0,990
420,100,0.15,0.4,AntiEntropy,5.017,100.0,524
42,150,0.05,0.1,AntiEntropy,8.529,100.0,1605
70,150,0.05,0.1,AntiEntropy,6.02,100.0,892
420,150,0.05,0.1,AntiEntropy,7.526,100.0,1361
42,150,0.05,0.2,AntiEntropy,8.531,100.0,1499
70,150,0.05,0.2,AntiEntropy,10.537,100.0,2164
420,150,0.05,0.2,AntiEntropy,7.025,100.0,1136
42,150,0.05,0.3,AntiEntropy,9.534,100.0,1754
70,150,0.05,0.3,AntiEntropy,9.533,100.0,1788
420,150,0.05,0.3,AntiEntropy,6.523,100.0,1087
42,150,0.05,0.4,AntiEntropy,9.031,100.0,1650
70,150,0.05,0.4,AntiEntropy,13.045,100.0,2766
420,150,0.05,0.4,AntiEntropy,10.035,100.0,2084
42,150,0.1,0.1,AntiEntropy,6.522,100.0,1054
70,150,0.1,0.1,AntiEntropy,8.027,100.0,1450
420,150,0.1,0.1,AntiEntropy,5.519,100.0,933
42,150,0.1,0.2,AntiEntropy,6.523,100.0,1061
70,150,0.1,0.2,AntiEntropy,6.522,100.0,1040
420,150,0.1,0.2,AntiEntropy,6.02,100.0,992
42,150,0.1,0.3,AntiEntropy,8.028,100.0,1587
70,150,0.1,0.3,AntiEntropy,5.519,100.0,860
420,150,0.1,0.3,AntiEntropy,6.523,100.0,1109
42,150,0.1,0.4,AntiEntropy,5.519,100.0,847
70,150,0.1,0.4,AntiEntropy,5.519,100.0,846
420,150,0.1,0.4,AntiEntropy,5.519,100.0,858
42,150,0.15,0.1,AntiEntropy,5.519,100.0,757
70,150,0.15,0.1,AntiEntropy,5.018,100.0,663
420,150,0.15,0.1,AntiEntropy,6.02,100.0,1062
42,150,0.15,0.2,AntiEntropy,6.522,100.0,1099
70,150,0.15,0.2,AntiEntropy,6.021,100.0,937
420,150,0.15,0.2,AntiEntropy,5.52,100.0,927
42,150,0.15,0.3,AntiEntropy,5.519,100.0,908
70,150,0.15,0.3,AntiEntropy,5.519,100.0,793
420,150,0.15,0.3,AntiEntropy,5.018,100.0,795
42,150,0.15,0.4,AntiEntropy,6.02,100.0,933
70,150,0.15,0.4,AntiEntropy,7.025,100.0,1137
420,150,0.15,0.4,AntiEntropy,6.523,100.0,1184
42,50,0.05,0.1,AntiEntropy,7.523,100.0,319
70,50,0.05,0.1,AntiEntropy,10.031,100.0,454
420,50,0.05,0.1,AntiEntropy,11.034,100.0,747
42,50,0.05,0.2,AntiEntropy,11.034,100.0,652
70,50,0.05,0.2,AntiEntropy,7.524,100.0,406
420,50,0.05,0.2,AntiEntropy,8.023,100.0,460
42,50,0.05,0.3,AntiEntropy,8.025,100.0,444
70,50,0.05,0.3,AntiEntropy,8.025,100.0,335
420,50,0.05,0.3,AntiEntropy,7.022,100.0,343
42,50,0.05,0.4,AntiEntropy,10.031,100.0,458
70,50,0.05,0.4,AntiEntropy,8.025,100.0,420
420,50,0.05,0.4,AntiEntropy,7.524,100.0,438
42,50,0.1,0.1,AntiEntropy,6.52,100.0,329
70,50,0.1,0.1,AntiEntropy,7.523,100.0,449
420,50,0.1,0.1,AntiEntropy,6.52,100.0,342
42,50,0.1,0.2,AntiEntropy,7.521,100.0,421
70,50,0.1,0.2,AntiEntropy,8.025,100.0,494
420,50,0.1,0.2,AntiEntropy,7.021,100.0,408
42,50,0.1,0.3,AntiEntropy,7.522,100.0,435
70,50,0.1,0.3,AntiEntropy,6.019,100.0,276
